# xBAir xAAir fE_Hor fE_Ver fE_Ver2 fE_Ver3

0.080 0.080 3.34827 3.34629 3.34924
0.090 0.080 3.35265 3.35217 3.35393
0.100 0.080 3.35685 3.35755 3.35829 
0.110 0.080 3.36086 3.36275 3.36258 3.36438
0.120 0.080 3.36468 3.36774 3.36667 3.36829
0.130 0.080 3.36830 3.37253 3.37054 3.37184
0.140 0.080 3.37171 3.37711 3.37418 3.37518
0.150 0.080 3.37487 3.38149 3.37756 3.37841
0.160 0.080 3.37783 3.38563 3.38068 3.38133
0.170 0.080 3.38068 3.38948 3.38363 3.38416
0.180 0.080 3.38345 ####### 3.38650 3.38708
0.190 0.080 3.38612 ####### 3.38912 3.38968
0.200 0.080 3.38868 ####### 3.39189 3.39230

