# xBAir xAAir fE_Hor fE_Ver fE_Ver2 fE_Ver3 

0.080 0.080 5.87995 5.85930 5.88577 #######
0.105 0.080 5.90745 5.89738 5.91296 5.92471
0.130 0.080 5.92881 5.92938 5.93316 5.94457
0.155 0.080 5.94557 5.95511 5.94890 5.96041
0.180 0.080 5.95928 5.97556 5.96176 5.97331
0.205 0.080 5.97016 5.99202 5.97249 5.98404
0.230 0.080 5.97873 ####### 5.98154 5.99321
0.255 0.080 5.98619 ####### 5.98927 6.00117
0.280 0.080 5.99278 ####### 5.99601 6.00816
0.305 0.080 5.99865 ####### 6.00199 6.01437
0.330 0.080 6.00393 ####### 6.00734 6.01994
0.355 0.080 6.00870 ####### 6.01216 6.02497
