# xBAir xAAir fE_Hor fE_Ver fE_Ver2 fE_Ver3

0.080 0.080 8.18369 8.13773 8.18892
0.105 0.080 8.22615 8.19541 8.23189 ######
0.130 0.080 8.25990 8.24348 8.26614 8.29528
0.155 0.080 8.28610 8.28243 8.29276 8.31796
0.180 0.080 8.30611 8.31394 8.31331 8.33589
0.205 0.080 8.32213 8.33975 8.32929 8.35035
0.230 0.080 8.33547 8.36114 8.34078 8.36241
0.255 0.080 8.34684 8.37914 8.35104 8.37267
0.280 0.080 8.35566 8.39446 8.35827 8.38159
0.305 0.080 8.36225 8.40764 8.36448 8.38906
0.330 0.080 8.36808 8.41910 8.36988 8.39487
0.355 0.080 8.37329 ####### 8.37484 8.40010
0.380 0.080 8.37797 ####### 8.37931 8.40481
0.405 0.080 8.38221 ####### 8.38336 8.40908
0.430 0.080 8.38607 ####### 8.38702 8.41296
0.455 0.080 8.38961 ####### 8.39035 8.41650
0.480 0.080 8.39285 ####### 8.39341 8.41975
