# xBAir xAAir fE_Hor fE_Ver fE_Ver2 fE_Ver3

0.080 0.080 10.3985 10.3418 10.4088 #######
0.105 0.080 10.4544 10.4147 10.4652 #######
0.130 0.080 10.4992 10.4755 10.5105 #######
0.155 0.080 10.5343 10.5245 10.5459 #######
0.180 0.080 10.5621 10.5640 10.5736 #######
0.205 0.080 10.5843 10.5963 10.5958 10.6317
0.230 0.080 10.6028 10.6231 10.6145 10.6460
0.255 0.080 10.6174 10.6458 10.6252 10.6580
0.280 0.080 10.6296 10.6651 10.6358 10.6681
0.305 0.080 10.6377 10.6818 10.6449 10.6811
0.330 0.080 10.6436 10.6963 10.6530 10.6874
0.355 0.080 10.6491 10.7089 10.6584 10.6929
0.380 0.080 10.6539 ####### 10.6629 10.6979
0.405 0.080 10.6582 ####### 10.6671 10.7024
0.430 0.080 10.6621 ####### 10.6708 10.7064
0.455 0.080 10.6657 ####### 10.6742 10.7101
0.480 0.080 10.6690 ####### 10.6773 10.7134
0.505 0.080 10.6720 ####### 10.6802 10.7165
0.530 0.080 10.6748 ####### 10.6828 10.7193
0.555 0.080 10.6773 ####### 10.6853 10.7220
0.580 0.080 10.6797 ####### 10.6876 10.7244
0.605 0.080 10.6819 ####### 10.6897 10.7267

