# xBAir xAAir fE_Hor fE_Ver fE_Ver2

16 16 6.42546 6.38844 
21 16 6.43101 6.41301 
26 16 6.43560 6.43495 
31 16 6.43947 6.45447 6.50164
36 16 6.44280 6.47175 6.50524
41 16 6.44570 6.48689 6.50833
46 16 6.44826 6.49991 6.51102
51 16 6.45053 6.51067 6.51339
56 16 6.45258 6.51903 6.51550
61 16 6.45443 6.52557 6.51739
66 16 6.45612 6.53085 6.51910
71 16 6.45767 6.53522 6.52067
76 16 6.45910 6.53882 6.52211
81 16 6.46042 ####### 6.52343
86 16 6.46165 ####### 6.52466
91 16 6.46280 ####### 6.52580
96 16 6.46388 ####### 6.52686
