# xBAir xAAir fE_Hor fE_Ver fE_Ver2

24.00 24.00 9.07774 8.99078
31.50 24.00 9.08555 9.02610
39.00 24.00 9.09186 9.05763
46.50 24.00 9.09709 9.08575
54.00 24.00 9.10152 9.11073
61.50 24.00 9.10534 9.13284 9.18756
69.00 24.00 9.10866 9.15229 9.19087
76.50 24.00 9.11160 9.16935 9.19374
84.00 24.00 9.11420 9.18428 9.19628
91.50 24.00 9.11656 9.19722 9.19854
99.00 24.00 9.11870 9.20790 9.20057
106.5 24.00 9.12065 9.21728 9.20241
114.0 24.00 9.12244 9.22449 9.20408
121.5 24.00 9.12409 9.23045 9.20562
129.0 24.00 9.12562 ####### 9.20705
136.5 24.00 9.12705 ####### 9.20837
144.0 24.00 9.12838 ####### 9.20960

