# xBAir xAAir fE_Hor fE_Ver fE_Ver2

32.00 32.00 11.6610 11.5623
42.00 32.00 11.6688 11.6048
52.00 32.00 11.6754 11.6427
62.00 32.00 11.6809 11.6764
72.00 32.00 11.6856 11.7063
82.00 32.00 11.6897 11.7329
92.00 32.00 11.6933 11.7567
102.0 32.00 11.6965 11.7779 11.8170
112.0 32.00 11.6994 11.7970 11.8226
122.0 32.00 11.7020 11.8142 11.8271
132.0 32.00 11.7044 11.8298 11.8295
142.0 32.00 11.7066 11.8438 11.8316
152.0 32.00 11.7087 11.8565 11.8335
162.0 32.00 11.7106 11.8683 11.8354
172.0 32.00 11.7124 11.8774 11.8371
182.0 32.00 11.7141 11.8834 11.8386
192.0 32.00 11.7156 11.8884 11.8401

